Unique ID,Start Date,End Date,Q1. What is your current age?  (Age),Q2. What is your gender?  (Gender),Q3. Which of the following best describes the area or community in which you live?  (Urban/Rural),Q4.  Please indicate the answer that includes your entire household income in (previous year) before taxes.  (Income),Beer,Flavored/Mixed Beer,Non-Alcoholic Beers,Hard Ciders,Hard Kombucha,Wine,Hard Beverage,Distilled Spirits,Domestic Light Beer,Domestic Regular Beer,Low Calorie Carb Beer,Domestic Craft,Imported Mexican Beer,Other Imported Beer,Non-Alcoholic Beer,Q9. How relevant would you say the shown product is to you based on what you saw and read? (Concept Relevance),Q10. How appealing or unappealing is the shown product  to you? (Concept Appeal),Q11. How different do you think the shown product is from other beers currently available for purchase? (Concept Differentiation),"Q12. Thinking about the shown product, which option describes how believable or unbelievable you feel the description and statements made about it are? (Concept Beleivability)",Q13. How does the price fit with what you’d expect the shown to cost? (Concept_Price),Q14. Which statement below best describes how likely you would be to buy shown product if it were available at your local stores? (Concept_Purchase Intent),"Q15. If the shwon product was available to you, how often would you expect yourself to drink at least one of these products? (Concept_Drinking Frequency)",Q16A. What is the most important thing you LIKE about the shown concept}?     This can include anything you would want kept for sure or aspects that might drive you to buy or try it…       Please type a detailed response in the space below,"Q16B. What is the most important thing you DISLIKE about the shown concept}?    This can include general concerns, annoyances, or any aspects of the product that need fixed for this to be more appealing to you...     Please type a detailed response in the space below.","Q17. We would like to know what effect this new product might have on the other beverages you buy. If it were available, would the shown product…?  (Concept_Replacement Product)",Q18_1 What specific product that you are currently using would the shown product replace?  Please type in ONE specific brand or product per space provided.,Q18_2 What specific product that you are currently using would the shown concept replace?  Please type in ONE specific brand or product per space provided.,Q18_3 What specific product that you are currently using would the shown concept replace?  Please type in ONE specific brand or product per space provided.,Unnamed: 35,time_taken,Predicted_OE_Quality_Flag
4,11-10-2024 09:40,11-10-2024 09:54,34,2,5,11,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,5,5,5,4,5,5,9,I don’t like Michelob actually.,I dislike that it’s a Michelob drink.,1,,,,,1163,0
25,11-10-2024 10:11,11-10-2024 10:30,54,1,5,11,1,1,0,1,0,1,1,1,0,1,0,1,1,1,0,5,5,5,4,5,5,9,I like that is has a smooth crisp taste,there is nothing that I dislike about this beer,2,corona extra,heiniken,miller life,,1163,0
27,11-10-2024 10:15,11-10-2024 10:33,64,2,5,11,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,5,5,4,5,5,9,I like that this beer is low calorie and carbs.,I don’t see anything that needs to be changed.,2,Miller Lite,Bud Light,Coca Cola,,1163,0
33,11-10-2024 11:02,11-10-2024 11:37,44,1,5,11,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,5,5,5,4,5,5,9,I like everything else about the same thing,Nothing else I can dislike about it,3,Walmart,Amazon,Costco,,1163,1
38,11-10-2024 15:17,11-10-2024 15:42,55,1,5,11,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,5,5,5,4,5,5,9,I. like the malt,i dislike that it is light,1,,,,,1163,0
44,11-10-2024 18:47,11-10-2024 19:03,42,1,5,11,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,5,5,5,4,5,5,9,I love the bottle and how great it looks,There is nothing I dislike,3,Bud Light,Heineken,Samuel Adams,,1163,0
48,12-10-2024 00:40,12-10-2024 00:54,38,1,5,11,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,5,5,5,4,5,5,9,EVERYHING,NOTHING,3,NOT SURE,NOT SURE,NOT SURE,,1163,0
51,12-10-2024 03:38,12-10-2024 03:45,38,1,5,11,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,5,5,5,4,5,5,9,Interesting,Interesting,3,Amazon,Walmart,Target,,1163,0
53,12-10-2024 04:28,12-10-2024 04:44,59,1,5,11,1,0,0,0,0,1,0,1,0,0,0,1,1,0,0,5,5,5,4,5,5,9,Extra light lager and the price,Not a big Michlob fan,1,,,,,1163,0
60,12-10-2024 08:23,12-10-2024 08:37,59,1,5,11,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,5,5,5,4,5,5,9,The most interesting thing to me is that it’s low-carb and low-calorie. I like Michelob they have a good tasting beer usually so if the taste remains and the carb and calorie count is lower that sounds like a great deal.,The only thing I can find that I dislike is the price. I know that it’s organic but a light beer usually is not a beer beer that comes at a premium price.,2,Miller Lite,Amstel Light,Stella Artois,,1163,0
